type,term_id,name,slug,parent
category,145,3D Printing,3d-printing,
category,2198,4X,4x,
category,1619,Action RPG,action-rpg,
category,1656,Adventure,adventure,
category,162,adventures in monopoly,adventures-in-monopoly,
category,161,AIM,aim,
category,154,aim,aim,
category,1657,Android,android,
category,416,Asides,asides,
category,2133,Atari,atari,
category,276,Atari 2600,atari-2600-old,
category,1837,Batman,batman,
category,137,Blaugust,blaugust,
category,1647,Blaugust 2022,blaugust-2022,blaugust
category,1947,Blaugust 2023,blaugust-2023,blaugust
category,2202,Blaugust 2024,blaugust-2024,blaugust
category,2396,Blaugust 2025,blaugust-2025,blaugust
category,277,blockchain,blockchain,
category,1531,Blockchain,blockchain,
category,1537,Browser Game,browser-game,
category,1484,Car Wars,car-wars,
category,271,Card Games,card-games,
category,359,city of heroes,city-of-heroes,
category,152,Comic,comic,
category,153,comic,comic,
category,163,comics,comics,
category,417,cronous,cronous,
category,723,cronous,cronous,
category,267,CRPG,crpg,
category,1536,Crypto Game,crypto-game,blockchain
category,1539,CryptoKitties,cryptokitties,browser-game
category,225,darkfall,darkfall,
category,1836,DC Comics,dc-comics,
category,344,dc universe online,dc-universe-online,
category,1932,Diablo,diablo,
category,767,Doctor Who,doctor-who,
category,265,DOS games,dos-games,
category,1538,Dragonereum,dragonereum,browser-game
category,788,Dungeon Siege,ds,
category,2019,Dungeons &amp; Dragons,dungeons-dragons,
category,151,Duolingo,duolingo,
category,1608,Elden Ring,elden-ring,
category,148,Emulators,emulators,
category,343,eve online,eve-online,
category,38,everquest,everquest,
category,39,everquest 2,everquest-2,
category,418,Facebook Games,facebook-games,
category,375,ff3,ff3,
category,377,ffxiv,ffxiv,
category,2300,Fiction,fiction,
category,350,Final Fantasy,final-fantasy,
category,52,final fantasy,final-fantasy,
category,1503,Final Fantasy Origins,final-fantasy-origins,final-fantasy
category,360,final fantasy xi,final-fantasy-xi,
category,2257,Final Fantasy XII,final-fantasy-xii,final-fantasy
category,170,final fantasy xiv,final-fantasy-xiv,
