type,term_id,name,slug,parent,normalized_name
category,145,3D Printing,3d-printing,,3d Printing
category,2198,4X,4x,,4x
category,1619,Action RPG,action-rpg,,Action Rpg
category,1656,Adventure,adventure,,All Points Bulletin
category,162,adventures in monopoly,adventures-in-monopoly,,Adventures in Monopoly
category,161,AIM,aim,,All Points Bulletin
category,154,aim,aim,,All Points Bulletin
category,1657,Android,android,,All Points Bulletin
category,416,Asides,asides,,All Points Bulletin
category,2133,Atari,atari,,All Points Bulletin
category,276,Atari 2600,atari-2600-old,,All Points Bulletin
category,1837,Batman,batman,,Blue Oyster Cult
category,137,Blaugust,blaugust,,Blue Oyster Cult
category,1647,Blaugust 2022,blaugust-2022,blaugust,Blue Oyster Cult
category,1947,Blaugust 2023,blaugust-2023,blaugust,Blue Oyster Cult
category,2202,Blaugust 2024,blaugust-2024,blaugust,Blue Oyster Cult
category,2396,Blaugust 2025,blaugust-2025,blaugust,Blue Oyster Cult
category,277,blockchain,blockchain,,Blue Oyster Cult
category,1531,Blockchain,blockchain,,Blue Oyster Cult
category,1537,Browser Game,browser-game,,Battlestar Galactica
category,1484,Car Wars,car-wars,,Counterweigt West
category,271,Card Games,card-games,,Console Game
category,359,city of heroes,city-of-heroes,,City of Heroes
category,152,Comic,comic,,CRPG
category,153,comic,comic,,CRPG
category,163,comics,comics,,CRPG
category,417,cronous,cronous,,CRPG
category,723,cronous,cronous,,CRPG
category,267,CRPG,crpg,,CRPG
category,1536,Crypto Game,crypto-game,blockchain,Console Game
category,1539,CryptoKitties,cryptokitties,browser-game,CRPG
category,225,darkfall,darkfall,,Dungeon Crawl Classics
category,1836,DC Comics,dc-comics,,Dashboard Confessional
category,344,dc universe online,dc-universe-online,,DC Universe Online
category,1932,Diablo,diablo,,Dungeon Crawl Classics
category,767,Doctor Who,doctor-who,,Desert Walk
category,265,DOS games,dos-games,,Delusions of Grandeur
category,1538,Dragonereum,dragonereum,browser-game,Dungeon Crawl Classics
category,788,Dungeon Siege,ds,,Dungeon Crawl Classics
category,2019,Dungeons &amp; Dragons,dungeons-dragons,,Dungeons &Amp; Dragons
category,151,Duolingo,duolingo,,Dungeon Crawl Classics
category,1608,Elden Ring,elden-ring,,Endless Runner
category,148,Emulators,emulators,,EverQuest
category,343,eve online,eve-online,,EVE Online
category,38,everquest,everquest,,EverQuest
category,39,everquest 2,everquest-2,,EverQuest
category,418,Facebook Games,facebook-games,,Facebook Games
category,375,ff3,ff3,,Final Fantasy III
category,377,ffxiv,ffxiv,,Final Fantasy III
category,2300,Fiction,fiction,,Final Fantasy III
category,350,Final Fantasy,final-fantasy,,Final Fantasy
category,52,final fantasy,final-fantasy,,Final Fantasy
category,1503,Final Fantasy Origins,final-fantasy-origins,final-fantasy,Final Fantasy Origins
category,360,final fantasy xi,final-fantasy-xi,,Final Fantasy XIII
category,2257,Final Fantasy XII,final-fantasy-xii,final-fantasy,Final Fantasy XIII
category,170,final fantasy xiv,final-fantasy-xiv,,Final Fantasy XIII
category,395,flamecraft,flamecraft,,Final Fantasy III
category,854,florensia,florensia,,Final Fantasy III
category,419,Fortune League,fortune-league-facebook-games,facebook-games,Fortune League
category,353,free realms,free-realms,,French Revolution
category,420,Frontierville,frontierville,facebook-games,Final Fantasy III
category,1855,Game Development,game-development,,Game Development
category,143,Game Night,game-night,,Game Night
category,90,game night,game-night,,Game Night
category,421,General,general,,Godswar Online
category,2168,Generative AI,generative-ai,,Gameboy Advance
category,91,gloomhaven,gloomhaven,,Godswar Online
category,72,godville,godville,,Godswar Online
