type,term_id,name,slug,parent,normalized_name
category,145,3D Printing,3d-printing,,3D Printing
category,2198,4X,4x,,4X
category,1619,Action RPG,action-rpg,,Action RPG
category,1656,Adventure,adventure,,Adventure
category,162,adventures in monopoly,adventures-in-monopoly,,Adventures in Monopoly
category,161,AIM,aim,,Adventures in Monopoly
category,154,aim,aim,,Adventures in Monopoly
category,1657,Android,android,,Android
category,416,Asides,asides,,Asides
category,2133,Atari,atari,,Atari
category,276,Atari 2600,atari-2600-old,,Atari 2600
category,1837,Batman,batman,,Batman
category,137,Blaugust,blaugust,,Blaugust
category,1647,Blaugust 2022,blaugust-2022,blaugust,Blaugust 2022
category,1947,Blaugust 2023,blaugust-2023,blaugust,Blaugust 2023
category,2202,Blaugust 2024,blaugust-2024,blaugust,Blaugust 2024
category,2396,Blaugust 2025,blaugust-2025,blaugust,Blaugust 2025
category,277,blockchain,blockchain,,Blockchain
category,1531,Blockchain,blockchain,,Blockchain
category,1537,Browser Game,browser-game,,Browser Game
category,1484,Car Wars,car-wars,,Car Wars
category,271,Card Games,card-games,,Card Games
category,359,city of heroes,city-of-heroes,,City of Heroes
category,152,Comic,comic,,Comic
category,153,comic,comic,,Comic
category,163,comics,comics,,Comic
category,417,cronous,cronous,,Cronous
category,723,cronous,cronous,,Cronous
category,267,CRPG,crpg,,CRPG
category,1536,Crypto Game,crypto-game,blockchain,Crypto Game
category,1539,CryptoKitties,cryptokitties,browser-game,Cryptokitties
category,225,darkfall,darkfall,,Darkfall
category,1836,DC Comics,dc-comics,,DC Comics
category,344,dc universe online,dc-universe-online,,DC Universe Online
category,1932,Diablo,diablo,,Diablo
category,767,Doctor Who,doctor-who,,Doctor Who
category,265,DOS games,dos-games,,DOS Games
category,1538,Dragonereum,dragonereum,browser-game,Dragonereum
category,788,Dungeon Siege,ds,,Dungeon Siege
category,2019,Dungeons &amp; Dragons,dungeons-dragons,,Dungeons & Dragons
category,151,Duolingo,duolingo,,Duolingo
category,1608,Elden Ring,elden-ring,,Elden Ring
category,148,Emulators,emulators,,Emulators
category,343,eve online,eve-online,,EVE Online
category,38,everquest,everquest,,EverQuest
category,39,everquest 2,everquest-2,,EverQuest II
category,418,Facebook Games,facebook-games,,Facebook Games
category,375,ff3,ff3,,Final Fantasy III
category,377,ffxiv,ffxiv,,Final Fantasy XIV
category,2300,Fiction,fiction,,Fiction
category,350,Final Fantasy,final-fantasy,,Final Fantasy
category,52,final fantasy,final-fantasy,,Final Fantasy
category,1503,Final Fantasy Origins,final-fantasy-origins,final-fantasy,Final Fantasy Origins
category,360,final fantasy xi,final-fantasy-xi,,Final Fantasy XI
category,2257,Final Fantasy XII,final-fantasy-xii,final-fantasy,Final Fantasy XII
category,170,final fantasy xiv,final-fantasy-xiv,,Final Fantasy XIV
category,395,flamecraft,flamecraft,,Flamecraft
category,854,florensia,florensia,,Florensia
category,419,Fortune League,fortune-league-facebook-games,facebook-games,Fortune League
category,353,free realms,free-realms,,Free Realms
category,420,Frontierville,frontierville,facebook-games,Frontierville
category,1855,Game Development,game-development,,Game Development
category,143,Game Night,game-night,,Game Night
category,90,game night,game-night,,Game Night
category,421,General,general,,General
category,2168,Generative AI,generative-ai,,Generative AI
category,91,gloomhaven,gloomhaven,,Gloomhaven
category,72,godville,godville,,Godville
category,179,greedfall,greedfall,,Greedfall
category,913,Guild Wars,guild-wars,,Guild Wars
category,1609,Horizon Forbidden West,horizon-forbidden-west,,Horizon Forbidden West
category,422,Humor,humor,general,Humor
category,957,Humor,humor,,Humor
