normalized_category_name,usage_count
MMORPG,1668
EverQuest II,456
General,408
EverQuest,313
Wizard101,249
Other Games,245
World of Warcraft,198
Blaugust,182
Star Trek Online,132
Daily Blogroll,125
Tabletop Games,115
EVE Online,103
Game Night,93
Steam Games,91
Lord of the Rings,78
Nostalgia the Guild,78
Humor,74
DC Universe Online,73
Comic,70
Final Fantasy XIV,66
Neverwinter,62
Vanguard,60
Warhammer: Age of Reckoning,60
Chronicles of Spellborn,58
Free Realms,58
City of Heroes,57
Sci Fi,53
Dungeons & Dragons Online,53
Advent of Code,50
Final Fantasy,48
Switch,47
Tactical RPG,43
Champions Online,42
PS5,41
Aion,40
My Work,39
Mythos,38
Adventures in Monopoly,38
Rift,38
PS4,37
Blaugust 2022,37
Darkfall,36
Malifaux,36
Asides,35
Age of Conan,33
Gloomhaven,33
Blaugust 2023,32
Blaugust 2024,32
Facebook Games,29
D&d 4e,29
7drl,27
Kickstarter,27
RPG,26
Guild Wars,24
3D Printing,24
Heroquest,24
Pokemon,23
Dream of Mirror Online,22
Pirates of the Burning Sea,22
Miniatures,22
Open World RPG,22
Rock Band,21
Blaugust 2025,21
Dark Ages of Camelot,19
Real Life,19
PS2,19
Straight Talk Warhammer,17
Adventure,17
Emulators,16
Survival,16
Valheim,15
Video Game,15
Final Fantasy XI,14
Runes of Magic,14
Dragon Age Origins,14
Action RPG,14
Dungeons & Dragons,14
One Panel Comix,13
Diablo 3,13
Tactics,13
Text Adventure Game,13
Second Life,12
Hello Kitty Online,12
Florensia,12
Pirate101,12
Terraforming Mars,12
CRPG,12
Rogue-Likes,12
NFT,12
OpenAI,12
Palworld,12
Littlebigplanet,11
Gatheryn,11
Super Nintendo,11
Frosthaven,11
Dune Awakening,11
Stout Henry,10
Earth Eternal,10
Torchlight,10
Treasure Abyss,10
Mobile Games,10
Visual Novel,10
Arcade Game,10
Tabletop Game,10
Baldur's Gate 3,10
Kingdoms of Amalur: Reckoning,9
Blockchain,9
Puzzle Games,9
Guild Wars 2,9
Tabula Rasa,8
Neopets,8
Spore,8
Shards of Dalaya,8
Everquest Next,8
Lucent Heart,8
Final Fantasy III,8
Horizon Forbidden West,8
Nintendo 64,8
Strategy,8
Vectrex,8
Nationstates,7
Neo Steam,7
Legends of Zork,7
Allods Online,7
Minecraft,7
It's a Wipe!,7
Valkyria Chronicles,7
Card Games,7
Ship of Heroes,7
Action Adventure Games,7
Turn-Based Rpgs,7
Generative AI,7
Doctor Who,6
Shin Megami Tensei,6
Fallen Earth,6
Star Wars: the Old Republic,6
Atari 2600,6
New World,6
Final Fantasy VI,6
Review,6
Erenshor,6
Battlestar Galactica,5
Project Powder,5
Dragonica Online,5
Tv Recaps,5
Uncategorized,5
Godville,5
World of Warships,5
Quick Takes,5
Video Game Series,5
Programming Language,5
Tales From the Loop,5
Puzzles,5
Game Development,5
DC Comics,5
Final Fantasy XIII,5
Beyond Shadowgate,5
Oblivion,4
Eureka,4
Dungeon Siege,4
Mabinogi,4
League of Cruelty,4
Skyrim,4
Dragon Nest,4
Pillars of Eternity,4
TIS-100,4
Greedfall,4
Rhythm Games,4
Console Game,4
Old School Runescape,4
Crypto Game,4
Gladius,4
Elden Ring,4
First Person Shooter,4
Star Trek,4
Monsters & Memories,4
Dragon's Dogma,4
Nemesis,4
Eq Online Adventures,3
Cronous,3
Web Logging,3
Cities XL,3
Gratuitous Space Battles,3
Fantasy Earth Zero,3
Recettear,3
Frontierville,3
Black Prophecy,3
Kerbal Space Program,3
Ingress,3
From Ello,3
Grim Dawn,3
Shroud of the Avatar,3
Besiege,3
Euro Truck Simulator 2,3
Set a Watch,3
Scythe,3
Shooter,3
Mystery Dice,3
The Elder Scrolls Online,3
Browser Game,3
Dragonereum,3
Cats,3
Fanfic,3
Gaming Convention,3
Video Game Console,3
Gotham Knights,3
Palia,3
Pantheon: Rise of the Fallen,3
Manor Lords,3
Dungeon Crawl Classics,3
Evercraft Online,3
Fiction,3
Neverwinter Nights,2
Metaplace,2
Littlebig Planet,2
Pi Story,2
Chess the MMORPG,2
Latale,2
Love,2
Shin Megami Tensei: Imagine,2
Fists of Fu,2
Earthrise,2
Dragon Age Legends,2
Star Corsairs,2
College-Ruled Universe,2
Realm of the Mad God,2
Simcity 2013,2
Townscaper,2
Real Time Strategy,2
Flamecraft,2
Return to Dark Tower,2
Car Wars,2
Lord of the Chords,2
Massively Multiplayer,2
My Little Scythe,2
Terra Randoma,2
Star Scrappers Orbital,2
Dungeon Encounters,2
Cryptokitties,2
Axie Infinity,2
Unexplored 2,2
Pawnbarian,2
V Rising,2
Basketball,2
Isometric Tactical Strategy,2
2D Platformers,2
Zombie Games,2
Metroidvania Games,2
Final Fantasy VII,2
No Man's Sky,2
PS3,2
White Knight Chronicles,2
Unicorn Overlord,2
Starship Simulator,2
Atari,2
Kesmai,2
Monster Hunter,2
Crayon Physics Deluxe,1
Puyo Puyo,1
Kung Foo!,1
Tinygame2010,1
My Empire,1
Doctor Who Adventures,1
Clone Wars Adventures,1
Battle of the Immortals,1
Gods & Heroes,1
Herotopia,1
Lego Universe,1
Godswar Online,1
Fortune League,1
Go,1
Need for Speed World,1
Divinity Ii -- Dragon Knight Saga,1
Glitch,1
Adventureville,1
Torchlight 2,1
FTL,1
Castle Story,1
Wizardry Online,1
Ballpoint Universe,1
Magical Diary,1
Roll20,1
Simcity 3,1
Code Hero,1
Crayon Chronicles,1
Hoard,1
Redshirt,1
Hearthstone,1
Gauntlet,1
Star Command Galaxies,1
Crypt of the Necrodancer,1
Sword Coast Legends,1
Armikrog,1
Web Games,1
DOS Games,1
System Software,1
Topic,1
Final Fantasy Origins,1
Kaiju Wars,1
Artisans of Splendent Vale,1
The Loot Project,1
Salt and Sanctuary,1
Wildermyth,1
Sports,1
Android,1
Supernatural Horror,1
Post-Apocalyptic Games,1
Magic,1
2D Platformer Games,1
Side-Scrolling Games,1
Bandai Wonderswan,1
Dinosaur Games,1
Prehistoric Games,1
Psychological Thriller,1
Exploration Games,1
Mystery Games,1
Fortnite,1
Path of Exile,1
Advertising,1
Souls-Like,1
Ark Survival Evolved,1
Petalica Paint,1
Batman,1
Photo Editing,1
Screenshots,1
Cyberpunk 2077,1
Sword Art Online Fatal Bullet,1
Movies,1
Diablo,1
Black Desert Online,1
Elite Dangerous,1
Lost Ark,1
Maplestory,1
Project: Gorgon,1
Star Citizen,1
The Secret World,1
Trends,1
Ultima Online,1
Final Fantasy XVI,1
Starfield,1
Avalon,1
Metric Time,1
Granblue Fantasy,1
Vandal Hearts,1
THE400 Mini,1
Midjourney,1
Intellivision,1
4X,1
Final Fantasy XII,1
Stars Reach,1
Sword Hero,1
Duolingo,1
